popden,hospitals,entertainment,monuments,schools,rent,lat,lon
19674,3,0,0,1,"22,000",17.206198532498583,78.5996965764315
11500,3,0,0,0,"22,000",17.472438109891822,78.21132798499224
22067,1,0,0,0,"30,000",17.27819164458481,78.46604761251001
13289,1,0,0,1,"30,000",17.37830614744105,78.50662557379212
11500,3,1,0,1,"14,000",17.578969168259423,78.45381537560094
11500,3,0,0,0,"16,000",17.296172236176076,78.35382957263859
19674,5,3,0,1,"14,000",17.35289770276829,78.23407920523464
24642,1,0,0,1,"30,000",17.211738112015826,78.49409083988404
19674,4,0,0,0,"30,000",17.550127987279406,78.36933718245146
19674,5,0,1,0,"14,000",17.545485341731325,78.27882701922513
13289,4,0,0,1,"30,000",17.495194244439098,78.60849199778697
13289,4,0,0,1,"11,000",17.37909495052669,78.31000303465262
22067,5,0,0,1,"16,000",17.546718994262765,78.53136414451066
13289,1,1,0,1,"22,000",17.20579944747671,78.35808980252162
19674,3,0,0,1,"16,000",17.52780010176103,78.32381994672852
19674,1,3,0,0,"30,000",17.444969861439375,78.21681220290975
22067,3,0,0,1,"16,000",17.504390816203465,78.25463785059809
19674,1,0,1,1,"14,000",17.262071001543383,78.34964509097762
11500,1,3,0,1,"16,000",17.3539938107775,78.67782065240804
11500,4,0,0,1,"16,000",17.55931292566654,78.2270417636646
19674,5,3,0,1,"16,000",17.43853435932714,78.29724238781091
24642,3,0,0,0,"11,000",17.54596700667649,78.64708322973578
22067,3,0,1,1,"22,000",17.319974926297167,78.3155326654835
22067,4,0,0,1,"11,000",17.570506802950085,78.51156308626373
19674,1,0,0,1,"14,000",17.469449927521243,78.34576554805103
11500,5,1,0,0,"14,000",17.52323923018691,78.22298588381538
19674,3,0,0,1,"11,000",17.209917218478356,78.2664441668881
13289,1,1,1,1,"14,000",17.29049844888297,78.54636486783002
11500,5,0,0,0,"11,000",17.298467839172908,78.46521867148321
19674,1,0,0,1,"16,000",17.259667063847196,78.50055575591571
11500,5,3,0,0,"16,000",17.25961630312575,78.34421749652253
24642,4,3,1,1,"30,000",17.384491952756136,78.34280378172615
19674,4,3,1,0,"30,000",17.317668827220455,78.51420840644937
11500,1,0,1,0,"30,000",17.574473673874287,78.4526939545854
22067,1,3,0,0,"14,000",17.38121019400646,78.34362555069569
13289,1,0,0,0,"30,000",17.35530857878064,78.26892517544768
13289,4,3,0,1,"14,000",17.22150310067566,78.52547974086315
24642,1,0,0,1,"11,000",17.37486376309191,78.32709614802785
24642,1,3,0,0,"22,000",17.281864267896214,78.419517265117
19674,5,0,0,0,"22,000",17.470123391572482,78.28044533166724
13289,3,3,0,1,"22,000",17.439541238176908,78.57582259822851
13289,1,0,1,0,"30,000",17.40305730462104,78.21093956930713
11500,3,3,0,1,"22,000",17.343947667586242,78.45074653512422
19674,3,0,0,1,"11,000",17.522938939880994,78.61477589407386
22067,5,1,0,0,"11,000",17.388722608351674,78.21331268522081
22067,1,0,0,0,"14,000",17.26162808125948,78.24065416000455
11500,4,0,0,0,"30,000",17.269594761567856,78.58574314563495
24642,3,0,0,1,"16,000",17.358723999809584,78.38578159096087
19674,1,3,0,0,"11,000",17.50140961911663,78.21214318885963
22067,3,1,0,1,"22,000",17.342570588457555,78.64167257964213
19674,3,0,0,1,"11,000",17.241682763553957,78.63477252328698
22067,4,1,0,1,"30,000",17.33036482787418,78.58061233193087
24642,3,0,0,1,"22,000",17.56651743145821,78.45024447802172
24642,4,0,0,0,"16,000",17.438397751699792,78.49109408726264
22067,5,1,0,0,"14,000",17.57800682811624,78.51908720826185
19674,1,0,1,0,"30,000",17.45014076271938,78.43982616119257
24642,4,0,0,1,"30,000",17.220755769024628,78.21730198824417
22067,4,1,0,0,"22,000",17.52861515000757,78.45454313409098
24642,3,0,1,1,"30,000",17.285559926789023,78.34893372243613
24642,5,0,0,1,"22,000",17.559150993448064,78.48806384088185
19674,1,0,1,0,"14,000",17.40830645964855,78.34829358184705
24642,4,0,0,0,"16,000",17.46222960089213,78.23739451852643
24642,1,0,0,1,"30,000",17.490278731640124,78.42820546240462
24642,4,0,0,1,"14,000",17.574276094621833,78.63721178736864
19674,5,3,0,1,"30,000",17.521312371474437,78.48761980639937
24642,1,0,0,0,"30,000",17.38069655934422,78.27657153440344
22067,1,0,0,0,"14,000",17.4917920474317,78.61656383536118
22067,5,0,0,0,"14,000",17.32545066220363,78.59793973736014
11500,3,1,0,1,"14,000",17.202034389968414,78.2553990886058
22067,4,0,0,0,"16,000",17.31106836983209,78.61324860066505
22067,1,3,0,0,"11,000",17.31246733570125,78.30791964879914
22067,1,0,0,0,"22,000",17.34432286270598,78.51071304066335
24642,4,0,0,0,"30,000",17.566327654778288,78.62526360044869
22067,1,0,0,0,"14,000",17.2105147589371,78.64187675934697
11500,1,3,0,1,"30,000",17.506155824730758,78.58038166749455
24642,1,0,0,1,"11,000",17.593779656374146,78.65078878024232
19674,5,3,0,1,"16,000",17.520688868923767,78.60715535620125
22067,1,1,0,1,"30,000",17.28338268998662,78.3244395390101
13289,1,0,0,1,"22,000",17.556464109925,78.56731632456871
13289,3,3,0,0,"14,000",17.495235511688918,78.61620406770434
11500,3,0,0,0,"11,000",17.53734446258935,78.62602383790608
19674,3,1,0,0,"30,000",17.31504187885932,78.483754739976
24642,1,1,1,1,"11,000",17.229477674422828,78.24341073172458
24642,4,3,1,1,"16,000",17.39458284709321,78.68560942660562
11500,1,1,0,1,"11,000",17.40525308131483,78.35489847233221
11500,1,0,0,1,"16,000",17.36827766013402,78.61018145313373
24642,5,0,0,1,"11,000",17.319526198158293,78.22384178920065
24642,1,1,0,1,"30,000",17.38901651299595,78.47907164322207
13289,4,3,1,0,"30,000",17.357908249760744,78.42517730008697
